letter_recognition.txt  26.0 100.0 0.001 100.0
Iteration 17: SSE = 8.042293350855259E-5
Iteration 18: SSE = 7.832377505974927E-5
Iteration 19: SSE = 7.630584174408289E-5
Iteration 20: SSE = 7.483215745324542E-5
Iteration 21: SSE = 7.38913503257456E-5
Iteration 22: SSE = 7.28952757851148E-5
Iteration 23: SSE = 7.183623078541737E-5
Iteration 24: SSE = 7.076440881874101E-5
Iteration 25: SSE = 6.985970830277756E-5
Iteration 26: SSE = 6.913923137502093E-5
Iteration 27: SSE = 6.860040405545146E-5
Iteration 28: SSE = 6.81464396557798E-5
Iteration 29: SSE = 6.771993202299858E-5
Iteration 30: SSE = 6.737612765904481E-5
Iteration 31: SSE = 6.713529500458292E-5
Iteration 32: SSE = 6.695666017647474E-5
Iteration 33: SSE = 6.679520461794288E-5
Iteration 34: SSE = 6.66033164885564E-5
Iteration 35: SSE = 6.643423647949599E-5
Iteration 36: SSE = 6.628705410125478E-5
Iteration 37: SSE = 6.621578442075691E-5
Iteration 38: SSE = 6.616893937186504E-5

Run 12
-------
Iteration 1: SSE = 2.3051193376246845E-4
Iteration 2: SSE = 1.3940061644257505E-4
Iteration 3: SSE = 1.3257688265077292E-4
Iteration 4: SSE = 1.2121673872666307E-4
Iteration 5: SSE = 1.1242625567963901E-4
Iteration 6: SSE = 1.078747617823789E-4
Iteration 7: SSE = 1.0367590590897183E-4
Iteration 8: SSE = 1.0052534347979635E-4
Iteration 9: SSE = 9.8621392683755E-5
Iteration 10: SSE = 9.669094073120701E-5
Iteration 11: SSE = 9.429282804052902E-5
Iteration 12: SSE = 9.188338795946698E-5
Iteration 13: SSE = 8.938744959990053E-5
Iteration 14: SSE = 8.70473390152118E-5
Iteration 15: SSE = 8.449821556977103E-5
Iteration 16: SSE = 8.26596780847858E-5
Iteration 17: SSE = 8.110905108309493E-5
Iteration 18: SSE = 7.967611846810432E-5
Iteration 19: SSE = 7.860809416862811E-5
Iteration 20: SSE = 7.749611196073778E-5
Iteration 21: SSE = 7.632169884218555E-5
Iteration 22: SSE = 7.47856833161729E-5
Iteration 23: SSE = 7.296163677050608E-5
Iteration 24: SSE = 7.141070106654856E-5
Iteration 25: SSE = 7.006206931062498E-5
Iteration 26: SSE = 6.885770224664699E-5
Iteration 27: SSE = 6.800921765185005E-5
Iteration 28: SSE = 6.770903380678151E-5
Iteration 29: SSE = 6.752654661986781E-5
Iteration 30: SSE = 6.736677380701566E-5
Iteration 31: SSE = 6.722569652812193E-5
Iteration 32: SSE = 6.708522813842238E-5
Iteration 33: SSE = 6.69519558018815E-5
Iteration 34: SSE = 6.684287408692187E-5
Iteration 35: SSE = 6.673137927759789E-5
Iteration 36: SSE = 6.658972610988716E-5
Iteration 37: SSE = 6.645374707948155E-5
Iteration 38: SSE = 6.636302902284621E-5
Iteration 39: SSE = 6.63096404085691E-5

Run 13
-------
Iteration 1: SSE = 2.2245354123205985E-4
Iteration 2: SSE = 1.29175315201804E-4
Iteration 3: SSE = 1.2302768535462876E-4
Iteration 4: SSE = 1.1844709293837839E-4
Iteration 5: SSE = 1.1570771444534827E-4
Iteration 6: SSE = 1.1287169655929154E-4
Iteration 7: SSE = 1.0992023966036006E-4
Iteration 8: SSE = 1.0665035295765501E-4
Iteration 9: SSE = 1.0333594550692472E-4
Iteration 10: SSE = 9.781524617434435E-5
Iteration 11: SSE = 9.281645663756992E-5
Iteration 12: SSE = 8.945705151372596E-5
Iteration 13: SSE = 8.719812005485949E-5
Iteration 14: SSE = 8.534434643787974E-5
Iteration 15: SSE = 8.364332076061783E-5
Iteration 16: SSE = 8.212134283559179E-5
Iteration 17: SSE = 8.070208038078758E-5
Iteration 18: SSE = 7.946100708390412E-5
Iteration 19: SSE = 7.789708593574034E-5
Iteration 20: SSE = 7.62271255790989E-5
Iteration 21: SSE = 7.420865235178664E-5
Iteration 22: SSE = 7.255566610253035E-5
Iteration 23: SSE = 7.134063647279567E-5
Iteration 24: SSE = 7.044372698329274E-5
Iteration 25: SSE = 6.974448479417867E-5
Iteration 26: SSE = 6.919566210785282E-5
Iteration 27: SSE = 6.874661771402614E-5
